,english,greek
FM_Map_Marker_Editor_Title,Map Marker Editor,
FM_Map_Marker_Editor_Text,"[color=#ffc315]Map Marker Editor[/color][p][p]The Map Marker Editor is a crucial tool for strategic planning and battlefield management. It allows for the addition of markers and measuring lines on the map, providing essential information and enabling precise calculations of distances and interception trajectories.[p][color=#ffc315]Controls and Functions[/color][p][p]    [color=#ffc315]MOVE HORIZONTAL RING[/color][p]    Adjusts the placement target horizontally across the screen, allowing for exact positioning of markers and lines.[p]    [color=#ffc315]MOVE VERTICAL RING[/color][p]    Moves the placement target vertically, ensuring precise alignment with the desired map location.[p]    [color=#ffc315]LINE[/color][p]    Initiates the drawing of a line. Pressing this button places the start point at the placement target's location. Move the target to adjust the line’s trajectory, and press the button again to finalize the line on the map.[p]    [color=#ffc315]TEXT[/color][p]    Prompts for text input to create a marker. Enter the desired information, and a marker displaying this text will appear at the placement target’s location.[p]    [color=#ffc315]CLEAR[/color][p]    Removes all markers and lines, providing a clean slate for new strategic planning.[p]    [color=#ffc315]CLOSE[/color][p]    Exits the Map Marker Editor, saving all current placements and modifications.[p]By adeptly using the Map Marker Editor, you can meticulously chart the battlefield, gauge distances between ships and towns, and accurately plan interception and engagement strategies. This tool is indispensable for achieving tactical supremacy.[p]",
FM_Missile_Tab_Title,Missile Tab,
FM_Missile_Tab_Text,"[color=#ffc315]Missile Tab[/color][p]The Missile Tab is the dedicated interface for aiming and firing BVR missiles, providing streamlined control over your ship's offensive capabilities.[p]Only ships equipped with a Missile Pos are able to fire any kind of missile.[p][color=#ffc315]Controls and Functions[/color][p]    [color=#ffc315]RING[/color][p]        Missile Selection: When no missile is armed, rotate the ring to cycle through the available missiles in the ship's inventory. The selected missile is displayed on the central device screen.[p]        Aiming: Once a missile is armed, the ring transitions to control the missile's aim, allowing precise targeting of the desired coordinates.[p]    [color=#ffc315]ARM[/color][p]    Activates the selected missile, unlocking aiming controls. The missile's range is displayed on the map, aiding in accurate targeting.[p]    [color=#ffc315]DISARM[/color][p]    Safely deactivates the armed missile, resetting the device and allowing for the selection of a different missile if needed.[p]    [color=#ffc315]LAUNCH[/color][p]    Fires the armed missile toward the designated target. After launch, the device resets, ready for the next operation.[p]    [color=#ffc315]CLOSE[/color][p]    Exits the Missile Tab, maintaining the current operational state.[p]Utilize the Missile Tab to effectively manage and deploy your ship's arsenal, ensuring tactical advantages in combat scenarios with precision targeting and execution.[p]",
FM_Missile_Types_Title,Missile Types,
FM_Missile_Types_Text,"[color=#ffc315]Missile Types[/color][p]In the realm of strategic warfare, the effective use of missiles is paramount. Two primary missile categories exist: Beyond Visual Range (BVR) and Within Visual Range (WVR), each suited for distinct combat scenarios.[p][color=#ffc315]Beyond Visual Range (BVR) Missiles[/color][p]    [color=#ffc315]Usage:[/color][p]        Utilized when commanding the fleet in the overworld.[p]        Ideal for engaging targets from a distance before visual contact.[p]    [color=#ffc315]Characteristics:[/color][p]        Long-range capabilities allow for pre-emptive strikes and strategic targeting ahead of engagements.[p]        Varying speed and ranges depending on the model.[p]    [color=#ffc315]Strategic Advantage:[/color][p]        Use BVR missiles to weaken or eliminate enemy fleets before direct confrontation, creating opportunities for tactical superiority.[p][color=#ffc315]Within Visual Range (WVR) Missiles[/color][p]    [color=#ffc315]Usage:[/color][p]        Deployed during direct combat encounters.[p]        Designed for engagements where the enemy is within sight.[p]    [color=#ffc315]Characteristics:[/color][p]        Shorter range but highly maneuverable, suited for dynamic combat scenarios.[p]        Quick response times and agility make them ideal for close-quarter combat.[p]    [color=#ffc315]Strategic Advantage:[/color][p]        Employ WVR missiles to quickly neutralize threats during intense combat, leveraging their agility to gain the upper hand.[p]By understanding and utilizing the distinct capabilities of BVR and WVR missiles, you can adapt strategies to the evolving battlefield, ensuring readiness and effectiveness in both long-range and close-range engagements.",
FM_Ports_Title,Ports,
FM_Ports_Text,"[color=#ffc315]Ports Overview[/color][p][p]In the vast expanse of your journey, ports serve as essential havens where ships can safely land. These designated areas are the only permissible landing zones, ensuring that every descent is both secure and efficient. As a critical component of flight operations, understanding the strategic advantages of each port is paramount.[p][color=#ffc315]Functions and Services[/color][p][p]When over a city press the LAND button on the lower right part of your Ship Controller to initiate the decent to the port. Upon landing, access is granted to several vital services. Ports offer refueling facilities, ensuring vessels are prepared for the next leg of the journey. Additionally, they provide repair services to fix any damages sustained during flights. Upgrading a ship's systems is also possible here, allowing for enhancements that can improve performance and resilience. Lastly, ammo can be purchased, ensuring readiness for any challenges that lie ahead.[p][color=#ffc315]City-Specific Buffs[/color][p][p]Each port is situated in a city that boasts unique attributes, granting specific buffs to visiting vessels. These enhancements might include faster and more cost-effective refueling, reduced repair times and costs, or discounts on upgrades. Understanding these distinct advantages is crucial for optimizing strategic planning and resource management throughout the adventure.[p][img={32}x{32]res://Assets/Items/Fuel.png[/img] REFUEL TIME/COST -[p][img={32}x{32]res://Assets/Items/Wrench.png[/img] REPAIR TIME/COST -[p][img={32}x{32]res://Assets/Items/cubeforcesmol.png[/img] UPGRADE TIME/COST -[p][p]By familiarizing oneself with the nuances of each port, the journey can be effectively planned, ensuring maximum efficiency and preparedness for the challenges that await.",
FM_Ship_Deck_Title,Ship Deck,
FM_Ship_Deck_Text,"Each ship has a deck of cards that is determined by its equipped parts. Every ship part contributes a specific set of cards, and together they form the ship’s final deck. When selecting ship parts, consider not only the stats they provide but also the cards they add to your deck.

There is [color=#ffc315]NO[/color] limit to the number of cards your ship’s deck can contain.

When building a deck, keep in mind the three main classes of cards:

[color=#ffc315]-------------------------------------------------[/color]

[font_size=22][color=#ff3c22]Offensive[/color] Cards[/font_size][p]
Primarily focused on attacking. These cards typically scale with the ship's [color=#ffc315]FIREPOWER[/color] stat.

[font_size=22][color=#6be2e9]Defensive[/color] Cards[/font_size][p]
Provide shields or counter incoming attacks, helping to mitigate damage.

[font_size=22][color=#8db354]Utility[/color] Cards[/font_size][p]
Comprise all other card types, such as those that buff your ship, debuff enemy ships, generate energy, and more.

[color=#ffc315]-------------------------------------------------[/color]

When evaluating cards, pay attention to their timing and any special effects they may have, as well as the conditions under which those effects are activated.

[color=#ffc315]-------------------------------------------------[/color]

[color=#ff3c22]Offensive[/color] Cards are used during the Action Perform Phase of combat. This means they are not triggered instantly; instead, all players select their cards first, and then actions are resolved together. This delay gives your opponents a chance to react or prepare counters.[p]

[font_size=22][color=#ff3c22]Offensive[/color] cards can have two types of effects:[/font_size][p]
    * [color=#ffc315]On Successful Attack:[/color] These effects activate only if the attack hits its target. If the attack is countered, the effect does not trigger.[p]

    * [color=#ffc315]On Attack Modules:[/color] These effects trigger as soon as the attack is initiated, regardless of whether it hits or is countered.[p]

[color=#ffc315]-------------------------------------------------[/color]

[color=#6be2e9]Defensive[/color] Cards may be played instantly or during the Action Perform Phase, depending on their type. Generally, counter cards are reserved for the Action Perform Phase and are only activated if the ship is attacked by an appropriate offensive card. Other defensive cards marked with “On Use” are played instantly.[p]
[font_size=22][color=#6be2e9]Defensive[/color] cards can also have effects such as:[/font_size][p]
    * [color=#ffc315]On Successful Defense:[/color] These effects trigger when a counter card successfully blocks an attack.

    * [color=#8db354]Utility[/color] Cards are always played instantly upon use.

By thoughtfully combining ship parts and understanding each card’s timing and effects, you can create a deck that supports your ship’s strengths and your preferred strategy.

[color=#ffc315]-------------------------------------------------[/color]",
